action,timestamp,cart_id,user_id,product_id,barcode
add,2025-04-10T03:01:47.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,69063aa0-d450-4d9c-9f40-8df712179354,555555
add,2025-04-10T03:01:52.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,69063aa0-d450-4d9c-9f40-8df712179354,555555
add,2025-04-10T03:01:57.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,3c41809a-8021-4dc1-880f-213f8a6cffed,111111
add,2025-04-10T03:02:02.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,69063aa0-d450-4d9c-9f40-8df712179354,555555
add,2025-04-10T03:02:07.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,69063aa0-d450-4d9c-9f40-8df712179354,555555
add,2025-04-10T03:02:12.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,3c41809a-8021-4dc1-880f-213f8a6cffed,111111
add,2025-04-10T03:02:17.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,69063aa0-d450-4d9c-9f40-8df712179354,555555
add,2025-04-10T03:02:22.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,5c20b60e-e35e-4ac2-b241-25e7957b89ad,222222
add,2025-04-10T03:02:27.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,9d53bd15-de72-466b-b04d-4c8a4d5b2ca9,333333
add,2025-04-10T03:02:32.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,9d53bd15-de72-466b-b04d-4c8a4d5b2ca9,333333
initiate_remove,2025-04-10T03:02:47.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,5c20b60e-e35e-4ac2-b241-25e7957b89ad,222222
remove,2025-04-10T03:02:49.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,5c20b60e-e35e-4ac2-b241-25e7957b89ad,222222
initiate_remove,2025-04-10T03:02:57.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,a71b0da1-ed29-43f6-8059-3eea8729b2c4,444444
remove,2025-04-10T03:02:59.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,a71b0da1-ed29-43f6-8059-3eea8729b2c4,444444
initiate_remove,2025-04-10T03:03:07.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,3c41809a-8021-4dc1-880f-213f8a6cffed,111111
remove,2025-04-10T03:03:09.598197,0a259927-9490-4971-8a15-6b1949736e91,c8bcd8ad-18a1-4701-aacd-ec7f572480ca,3c41809a-8021-4dc1-880f-213f8a6cffed,111111
